Designator,Footprint,Quantity,Value,LCSC Part #
BUZ1,BUZ-SMD_L9.0-W9.0-P8.00-LS9.3,1,CPT-9019S-SMT-TR,C95163
C1,0603,1,0.1uF,
"C10, C57, C58",0402,3,2.2uF,
"C11, C14, C15, C2, C27, C29, C30, C31, C32, C33, C34, C36, C37, C38, C41, C44, C45, C46, C47, C48, C49, C50, C51, C63, C64, C67, C78",0402,27,100nF,
"C12, C13",0603,2,22uF,
"C16, C19, C20, C21, C22",0402,5,22uF,
C17,0402,1,4.7uF,
"C18, C28",0402,2,22nF,
C23,0402,1,3300pF,
C24,0402,1,330pF,
C25,CAP-SMD_BD6.3-L6.6-W6.6-LS7.2-FD,1,47uF,C970677
"C3, C6",0603,2,10uF,
"C35, C43, C56, C68, C77",0402,5,10uF,
"C39, C40, C60, C61",0402,4,20pF,
"C4, C5",0805,2,10uF,
"C42, C74",CAP-SMD_BD4.0-L4.3-W4.3-FD-LS5.3,2,RVT1C220M0405_C3356_22uF,C3356
"C52, C53, C54, C55, C65",0402,5,1uF,
"C59, C62",0402,2,6.8pF,
C66,1210,1,100uF,
"C69, C75, C76",0402,3,0.1uF,
"C7, C8, C9",0805,3,22uF,
C70,0402,1,15nF,
C71,0402,1,3.3nF,
C72,0402,1,10nF,
C73,0402,1,150pF,
C79,1206,1,22uF,
CARD2,TF-SMD_TF-01A,1,TF-01A,C91145
CN1,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,1,XT60PW_M,C98732
"CN2, CN4, CN5, CN6",AMASS_XT60PW-F_1x02_P7.20mm_Horizontal,4,XT60PW_F,C428722
"D1, D2, D3, D4, D5, D6",D_SMA,6,SS34,
GPS,FPC-SMD_6P-P0.50_XUNPU_FPC-05F-6PH20,1,FPC-05F-6PH20,C2856796
J1,PinHeader_2x07_P2.54mm_Vertical,1,Conn_02x07_Odd_Even,
"J10, J5, J6, J7, J8",PinHeader_1x03_P2.54mm_Vertical,5,Conn_01x03_Pin,
J12,PinHeader_2x02_P2.54mm_Vertical,1,Conn_02x02_Top_Bottom,
"J13, J18",PinHeader_1x14_P2.54mm_Vertical,2,Conn_01x14_Pin,
"J14, J19",PinHeader_1x06_P2.54mm_Vertical,2,Conn_01x06_Pin,
"J15, J20",PinSocket_1x14_P2.54mm_Vertical,2,Conn_01x14_Socket,
"J16, J17",PinSocket_1x06_P2.54mm_Vertical,2,Conn_01x06_Socket,
"J2, J9",PinHeader_1x02_P1.00mm_Vertical,2,Conn_01x02_Pin,
J21,PinHeader_2x04_P2.54mm_Vertical,1,Conn_02x04_Odd_Even,
L1,IND-SMD_L4.0-W4.0-A,1,XFL4020-152MEC,C3033018
L2,L0603,1,FCM1608KF-601T03,C141723
LED1,LED-SEG-TH_14P-L32.2-W10.2-P2.54-S7.62-BL,1,FJ2481CH,C10707
"LED11, LED12, LED13, LED14, LED15, LED16, LED2, LED9",LED0603-RD,8,KT-0603YG,C2289
"LED3, LED8",LED0603-RD,2,KT-0603R,C2286
"LED4, LED5, LED6, LED7",LED0603-R-RD_WHITE,4,KT-0603W,C2290
"Q1, Q2, Q3, Q5",VSON-CLIP-8_L3.3-W3.3-P0.65-BL,4,CSD16340Q3,C47616
"Q10, Q7, Q8, Q9",SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,4,LBSS138LT1G,C8490
"R1, R2",0402,2,5.1K,
R10,0402,1,22.1K,
"R100, R103, R104, R16, R99",0402,5,4.7K,
R101,0603,1,10K,
"R102, R12, R20, R22, R27, R28, R29, R30, R31, R34, R35, R49, R58, R6, R61, R62, R63, R64, R65, R66, R7, R88, R96, R97, R98",0402,25,10K,
"R11, R33",0402,2,68K,
"R13, R14",0402,2,56K,
"R15, R52",0402,2,24K,
"R17, R18, R19, R21, R36, R37, R38, R39, R4, R40, R41, R42, R43, R44, R45, R46, R47, R48, R60, R67, R68, R69, R76, R77, R82",0402,25,220,
R23,0402,1,150K,
R24,0402,1,47K,
"R25, R26, R55",0402,3,2.2K,
R3,R2725,1,HOLR2725D-4W-2MR-1%,C500746
"R32, R54, R85, R86, R87",0402,5,1K,
"R5, R72, R73, R74, R75",0402,5,680,
R50,0402,1,160,
R51,0402,1,1.1K,
R53,0402,1,1.5K,
R56,0402,1,50K,
R78,0402,1,100,
"R8, R9",0402,2,100K,
"R83, R84",0603,2,75,
"SW1, SW11, SW12, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW-SMD_L3.9-W3.0-P4.45,11,TS-1088-AR02016,C720477
"SW10, SW14",SW-SMD_DSIC03LSGET,2,DSIC03LSGET,C57453
SW13,SW-SMD_MK-11C04-G013,1,MK-11C04-G013,C778185
U1,LQFP-100_14x14mm_P0.5mm,1,STM32F765VGTx,
U10,MC7RE,1,~,
U11,VSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL,1,INA226AQDGSRQ1,C2653835
U12,SOT-23-6,1,LMR51430XF,
U13,CAP-SMD_BD6.3-L6.6-W6.6-LS7.2-FD-1,1,100uF,C970685
U14,LGA-8_BME280_BL,1,BME280,C92489
U15,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,S322527M20PF10PPM,C7420779
U16,VQFN-20_L4.5-W3.5-P0.50-BL-EP,1,TXB0108RGYR,C194701
U17,TX5813,1,TX5813,
U19,QFN-26_L5.0-W4.5_TPS259850RQPR,1,TPS259850RQPR,C6290347
U2,LGA-28_L5.2-W3.8-P0.50-BL-1,1,BNO080,C717991
U20,SO-8_L4.9-W3.9-P1.27-LS6.0-BL,1,LD1117D33TR,C2971297
U3,LGA-10_L2.0-W2.0-P0.50-TL_BMP580,1,BMP580,C22391138
U4,IND-SMD_L5.5-W5.3,1,XAL5050-562MEC,C7305309
U5,HTSSOP-28_L9.7-W4.4-P0.65-LS6.4-BL-EP5.5,1,MAX7456EUI,C5346361
U6,SMA-TH_SMA-KWE_C7498154,1,SMA_Conn,C7498154
U7,VQFN-21_L5.0-W3.0-P0.50-TL,1,TPS55289RYQR,C5942077
U8,IND-SMD_L7.5-W7.2-1,1,XAL7070-472MEC,C3911513
U9,VQFN-15_L3.0-W2.5-P0.50-BL,1,TPS630701RNMT,C181473
USB1,USB-C-SMD_TYPE-C16PIN_C668624,1,TYPE-C 16P(073),C668624
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,X322525MOB4SI,C9006
X2,FC-135R_L3.2-W1.5,1,Q13FC1350000400,C32346
